shipment_id,step,timestamp,hour,lat,lon,temperature_c,temp_threshold_c,temp_alert,interval_co2_kg,cumulative_co2_kg,distance_km,source_file,data_type,alert,temperature_difference_c,journey_progress_pct,risk_level,journey_stage,hour_bucket
A-104,11,2026-07-04 18:19:49,0.917,52.47412,12.72248,5.35,11.0,False,3.948,48.927,50.03,shipment_A-104.csv,simulated_prototype,0,-5.65,7.638167938931298,Normal,0-25%,0-3h
A-104,12,2026-07-04 18:24:49,1.0,52.47056,12.66086,5.11,11.0,False,3.941,52.868,54.58,shipment_A-104.csv,simulated_prototype,0,-5.89,8.332824427480915,Normal,0-25%,0-3h
A-104,13,2026-07-04 18:29:49,1.083,52.46686,12.59928,5.32,11.0,False,4.165,57.033,59.13,shipment_A-104.csv,simulated_prototype,0,-5.68,9.027480916030536,Normal,0-25%,0-3h
A-104,14,2026-07-04 18:34:49,1.167,52.46162,12.5374,5.33,11.0,False,4.414,61.447,63.68,shipment_A-104.csv,simulated_prototype,0,-5.67,9.722137404580153,Normal,0-25%,0-3h
A-104,15,2026-07-04 18:39:49,1.25,52.45816,12.47516,5.41,11.0,False,4.215,65.662,68.23,shipment_A-104.csv,simulated_prototype,0,-5.59,10.416793893129771,Normal,0-25%,0-3h
A-104,16,2026-07-04 18:44:49,1.333,52.45432,12.41348,5.27,11.0,False,3.973,69.635,72.78,shipment_A-104.csv,simulated_prototype,0,-5.73,11.11145038167939,Normal,0-25%,0-3h
A-104,17,2026-07-04 18:49:49,1.417,52.44935,12.35067,5.33,11.0,False,4.384,74.019,77.33,shipment_A-104.csv,simulated_prototype,0,-5.67,11.806106870229009,Normal,0-25%,0-3h
A-104,18,2026-07-04 18:54:49,1.5,52.44609,12.28882,5.18,11.0,False,4.365,78.384,81.88,shipment_A-104.csv,simulated_prototype,0,-5.82,12.500763358778624,Normal,0-25%,0-3h
A-104,19,2026-07-04 18:59:49,1.583,52.44135,12.22675,5.14,11.0,False,3.928,82.312,86.42,shipment_A-104.csv,simulated_prototype,0,-5.86,13.193893129770991,Normal,0-25%,0-3h
A-104,20,2026-07-04 19:04:49,1.667,52.43737,12.16476,4.95,11.0,False,4.028,86.34,90.97,shipment_A-104.csv,simulated_prototype,0,-6.05,13.888549618320612,Normal,0-25%,0-3h
A-104,21,2026-07-04 19:09:49,1.75,52.43274,12.10382,5.12,11.0,False,4.1,90.44,95.52,shipment_A-104.csv,simulated_prototype,0,-5.88,14.583206106870229,Normal,0-25%,0-3h
A-104,22,2026-07-04 19:14:49,1.833,52.42842,12.04045,5.57,11.0,False,4.285,94.725,100.07,shipment_A-104.csv,simulated_prototype,0,-5.43,15.277862595419847,Normal,0-25%,0-3h
A-104,23,2026-07-04 19:19:49,1.917,52.42476,11.97848,5.54,11.0,False,4.016,98.741,104.62,shipment_A-104.csv,simulated_prototype,0,-5.46,15.972519083969466,Normal,0-25%,0-3h
A-104,24,2026-07-04 19:24:49,2.0,52.42145,11.91716,5.77,11.0,False,3.774,102.515,109.17,shipment_A-104.csv,simulated_prototype,0,-5.23,16.66717557251908,Normal,0-25%,0-3h
A-104,25,2026-07-04 19:29:49,2.083,52.41692,11.85538,5.32,11.0,False,4.118,106.633,113.72,shipment_A-104.csv,simulated_prototype,0,-5.68,17.361832061068704,Normal,0-25%,0-3h
A-104,26,2026-07-04 19:34:49,2.167,52.41213,11.79333,5.57,11.0,False,4.063,110.696,118.26,shipment_A-104.csv,simulated_prototype,0,-5.43,18.05496183206107,Normal,0-25%,0-3h
A-104,27,2026-07-04 19:39:49,2.25,52.40898,11.73167,5.55,11.0,False,3.939,114.635,122.81,shipment_A-104.csv,simulated_prototype,0,-5.45,18.749618320610686,Normal,0-25%,0-3h
A-104,28,2026-07-04 19:44:49,2.333,52.40419,11.66867,5.77,11.0,False,3.962,118.597,127.36,shipment_A-104.csv,simulated_prototype,0,-5.23,19.444274809160305,Normal,0-25%,0-3h
A-104,29,2026-07-04 19:49:49,2.417,52.40025,11.6073,5.23,11.0,False,3.866,122.463,131.91,shipment_A-104.csv,simulated_prototype,0,-5.77,20.138931297709924,Normal,0-25%,0-3h
A-104,30,2026-07-04 19:54:49,2.5,52.3963,11.5452,5.5,11.0,False,3.767,126.23,136.46,shipment_A-104.csv,simulated_prototype,0,-5.5,20.833587786259542,Normal,0-25%,0-3h
A-104,31,2026-07-04 19:59:49,2.583,52.39153,11.48246,5.22,11.0,False,4.375,130.605,141.01,shipment_A-104.csv,simulated_prototype,0,-5.78,21.528244274809158,Normal,0-25%,0-3h
A-104,32,2026-07-04 20:04:49,2.667,52.38819,11.42163,5.45,11.0,False,4.341,134.946,145.56,shipment_A-104.csv,simulated_prototype,0,-5.55,22.22290076335878,Normal,0-25%,0-3h
A-104,33,2026-07-04 20:09:49,2.75,52.38415,11.35856,5.55,11.0,False,4.085,139.031,150.1,shipment_A-104.csv,simulated_prototype,0,-5.45,22.916030534351144,Normal,0-25%,0-3h
A-104,34,2026-07-04 20:14:49,2.833,52.37875,11.29754,5.5,11.0,False,4.078,143.109,154.65,shipment_A-104.csv,simulated_prototype,0,-5.5,23.610687022900763,Normal,0-25%,0-3h
A-104,35,2026-07-04 20:19:49,2.917,52.37531,11.23483,5.4,11.0,False,4.338,147.447,159.2,shipment_A-104.csv,simulated_prototype,0,-5.6,24.30534351145038,Normal,0-25%,0-3h
A-104,36,2026-07-04 20:24:49,3.0,52.37099,11.17276,5.2,11.0,False,3.898,151.345,163.75,shipment_A-104.csv,simulated_prototype,0,-5.8,25.0,Normal,0-25%,0-3h
A-104,37,2026-07-04 20:29:49,3.083,52.36669,11.11189,5.44,11.0,False,4.192,155.537,168.3,shipment_A-104.csv,simulated_prototype,0,-5.56,25.694656488549622,Normal,25-50%,3-6h
A-104,38,2026-07-04 20:34:49,3.167,52.36274,11.04921,5.63,11.0,False,3.988,159.525,172.85,shipment_A-104.csv,simulated_prototype,0,-5.37,26.389312977099237,Normal,25-50%,3-6h
A-104,39,2026-07-04 20:39:49,3.25,52.35882,10.9868,5.63,11.0,False,3.91,163.435,177.4,shipment_A-104.csv,simulated_prototype,0,-5.37,27.083969465648856,Normal,25-50%,3-6h
A-104,40,2026-07-04 20:44:49,3.333,52.35394,10.92538,5.6,11.0,False,4.329,167.764,181.94,shipment_A-104.csv,simulated_prototype,0,-5.4,27.777099236641224,Normal,25-50%,3-6h
A-104,41,2026-07-04 20:49:49,3.417,52.3498,10.86282,5.98,11.0,False,4.204,171.968,186.49,shipment_A-104.csv,simulated_prototype,0,-5.02,28.47175572519084,Normal,25-50%,3-6h
A-104,42,2026-07-04 20:54:49,3.5,52.34587,10.80067,5.8,11.0,False,4.076,176.044,191.04,shipment_A-104.csv,simulated_prototype,0,-5.2,29.166412213740458,Normal,25-50%,3-6h
A-104,43,2026-07-04 20:59:49,3.583,52.34256,10.73965,5.46,11.0,False,3.891,179.935,195.59,shipment_A-104.csv,simulated_prototype,0,-5.54,29.861068702290076,Normal,25-50%,3-6h
A-104,44,2026-07-04 21:04:49,3.667,52.33743,10.67711,5.37,11.0,False,4.244,184.179,200.14,shipment_A-104.csv,simulated_prototype,0,-5.63,30.555725190839695,Normal,25-50%,3-6h
A-104,45,2026-07-04 21:09:49,3.75,52.33412,10.61592,5.68,11.0,False,3.831,188.01,204.69,shipment_A-104.csv,simulated_prototype,0,-5.32,31.25038167938931,Normal,25-50%,3-6h
A-104,46,2026-07-04 21:14:49,3.833,52.3296,10.55299,5.68,11.0,False,3.891,191.901,209.24,shipment_A-104.csv,simulated_prototype,0,-5.32,31.945038167938932,Normal,25-50%,3-6h
A-104,47,2026-07-04 21:19:49,3.917,52.32553,10.49112,5.47,11.0,False,3.949,195.85,213.78,shipment_A-104.csv,simulated_prototype,0,-5.53,32.6381679389313,Normal,25-50%,3-6h
A-104,48,2026-07-04 21:24:49,4.0,52.32111,10.42984,5.21,11.0,False,4.127,199.977,218.33,shipment_A-104.csv,simulated_prototype,0,-5.79,33.332824427480915,Normal,25-50%,3-6h
A-104,49,2026-07-04 21:29:49,4.083,52.31668,10.36796,5.73,11.0,False,4.314,204.291,222.88,shipment_A-104.csv,simulated_prototype,0,-5.27,34.027480916030534,Normal,25-50%,3-6h
A-104,50,2026-07-04 21:34:49,4.167,52.31387,10.30586,5.66,11.0,False,4.084,208.375,227.43,shipment_A-104.csv,simulated_prototype,0,-5.34,34.72213740458015,Normal,25-50%,3-6h
A-104,51,2026-07-04 21:39:49,4.25,52.30865,10.24311,5.5,11.0,False,3.805,212.18,231.98,shipment_A-104.csv,simulated_prototype,0,-5.5,35.41679389312977,Normal,25-50%,3-6h
A-104,52,2026-07-04 21:44:49,4.333,52.30475,10.18195,5.56,11.0,False,4.064,216.244,236.53,shipment_A-104.csv,simulated_prototype,0,-5.44,36.11145038167939,Normal,25-50%,3-6h
A-104,53,2026-07-04 21:49:49,4.417,52.30068,10.11992,5.95,11.0,False,4.418,220.662,241.08,shipment_A-104.csv,simulated_prototype,0,-5.05,36.80610687022901,Normal,25-50%,3-6h
A-104,54,2026-07-04 21:54:49,4.5,52.29673,10.05758,5.69,11.0,False,4.401,225.063,245.62,shipment_A-104.csv,simulated_prototype,0,-5.31,37.49923664122137,Normal,25-50%,3-6h
A-104,55,2026-07-04 21:59:49,4.583,52.29263,9.99533,5.74,11.0,False,4.256,229.319,250.17,shipment_A-104.csv,simulated_prototype,0,-5.26,38.19389312977099,Normal,25-50%,3-6h
A-104,56,2026-07-04 22:04:49,4.667,52.28774,9.93339,5.21,11.0,False,3.869,233.188,254.72,shipment_A-104.csv,simulated_prototype,0,-5.79,38.88854961832061,Normal,25-50%,3-6h
A-104,57,2026-07-04 22:09:49,4.75,52.28491,9.87067,5.59,11.0,False,3.888,237.076,259.27,shipment_A-104.csv,simulated_prototype,0,-5.41,39.58320610687023,Normal,25-50%,3-6h
A-104,58,2026-07-04 22:14:49,4.833,52.28024,9.80953,5.61,11.0,False,4.349,241.425,263.82,shipment_A-104.csv,simulated_prototype,0,-5.39,40.27786259541985,Normal,25-50%,3-6h
A-104,59,2026-07-04 22:19:49,4.917,52.2756,9.74742,5.7,11.0,False,4.172,245.597,268.37,shipment_A-104.csv,simulated_prototype,0,-5.3,40.972519083969466,Normal,25-50%,3-6h
A-104,60,2026-07-04 22:24:49,5.0,52.27172,9.68541,5.13,11.0,False,3.9,249.497,272.92,shipment_A-104.csv,simulated_prototype,0,-5.87,41.667175572519085,Normal,25-50%,3-6h
A-104,61,2026-07-04 22:29:49,5.083,52.26801,9.62292,5.53,11.0,False,4.025,253.522,277.47,shipment_A-104.csv,simulated_prototype,0,-5.47,42.361832061068704,Normal,25-50%,3-6h
A-104,62,2026-07-04 22:34:49,5.167,52.26381,9.56101,5.45,11.0,False,3.814,257.336,282.01,shipment_A-104.csv,simulated_prototype,0,-5.55,43.05496183206107,Normal,25-50%,3-6h
A-104,63,2026-07-04 22:39:49,5.25,52.25936,9.50002,5.89,11.0,False,4.419,261.755,286.56,shipment_A-104.csv,simulated_prototype,0,-5.11,43.749618320610686,Normal,25-50%,3-6h
A-104,64,2026-07-04 22:44:49,5.333,52.25467,9.4369,5.54,11.0,False,4.343,266.098,291.11,shipment_A-104.csv,simulated_prototype,0,-5.46,44.444274809160305,Normal,25-50%,3-6h
A-104,65,2026-07-04 22:49:49,5.417,52.2517,9.37513,6.04,11.0,False,3.87,269.968,295.66,shipment_A-104.csv,simulated_prototype,0,-4.96,45.13893129770993,Normal,25-50%,3-6h
A-104,66,2026-07-04 22:54:49,5.5,52.2475,9.31361,5.12,11.0,False,4.195,274.163,300.21,shipment_A-104.csv,simulated_prototype,0,-5.88,45.833587786259535,Normal,25-50%,3-6h
A-104,67,2026-07-04 22:59:49,5.583,52.24217,9.25178,5.19,11.0,False,3.962,278.125,304.76,shipment_A-104.csv,simulated_prototype,0,-5.81,46.52824427480916,Normal,25-50%,3-6h
A-104,68,2026-07-04 23:04:49,5.667,52.23898,9.18996,5.63,11.0,False,3.836,281.961,309.31,shipment_A-104.csv,simulated_prototype,0,-5.37,47.22290076335878,Normal,25-50%,3-6h
A-104,69,2026-07-04 23:09:49,5.75,52.23469,9.12701,5.63,11.0,False,4.162,286.123,313.85,shipment_A-104.csv,simulated_prototype,0,-5.37,47.91603053435115,Normal,25-50%,3-6h
A-104,70,2026-07-04 23:14:49,5.833,52.23079,9.06491,5.45,11.0,False,4.086,290.209,318.4,shipment_A-104.csv,simulated_prototype,0,-5.55,48.61068702290076,Normal,25-50%,3-6h
A-104,71,2026-07-04 23:19:49,5.917,52.22692,9.00384,5.43,11.0,False,3.827,294.036,322.95,shipment_A-104.csv,simulated_prototype,0,-5.57,49.30534351145038,Normal,25-50%,3-6h
A-104,72,2026-07-04 23:24:49,6.0,52.22209,8.94103,5.88,11.0,False,4.184,298.22,327.5,shipment_A-104.csv,simulated_prototype,0,-5.12,50.0,Normal,25-50%,3-6h
A-104,73,2026-07-04 23:29:49,6.083,52.21772,8.8797,5.53,11.0,False,4.128,302.348,332.05,shipment_A-104.csv,simulated_prototype,0,-5.47,50.69465648854962,Normal,50-75%,6-9h
A-104,74,2026-07-04 23:34:49,6.167,52.21382,8.81665,5.89,11.0,False,4.358,306.706,336.6,shipment_A-104.csv,simulated_prototype,0,-5.11,51.389312977099245,Normal,50-75%,6-9h
A-104,75,2026-07-04 23:39:49,6.25,52.20986,8.75585,5.7,11.0,False,4.148,310.854,341.15,shipment_A-104.csv,simulated_prototype,0,-5.3,52.08396946564885,Normal,50-75%,6-9h
A-104,76,2026-07-04 23:44:49,6.333,52.20515,8.69283,5.35,11.0,False,4.288,315.142,345.69,shipment_A-104.csv,simulated_prototype,0,-5.65,52.77709923664122,Normal,50-75%,6-9h
A-104,77,2026-07-04 23:49:49,6.417,52.20204,8.63195,5.89,11.0,False,3.904,319.046,350.24,shipment_A-104.csv,simulated_prototype,0,-5.11,53.47175572519084,Normal,50-75%,6-9h
A-104,78,2026-07-04 23:54:49,6.5,52.19702,8.56881,5.56,11.0,False,4.032,323.078,354.79,shipment_A-104.csv,simulated_prototype,0,-5.44,54.16641221374046,Normal,50-75%,6-9h
A-104,79,2026-07-04 23:59:49,6.583,52.19342,8.50689,5.06,11.0,False,4.375,327.453,359.34,shipment_A-104.csv,simulated_prototype,0,-5.94,54.86106870229007,Normal,50-75%,6-9h
A-104,80,2026-07-05 00:04:49,6.667,52.18964,8.44608,5.61,11.0,False,3.782,331.235,363.89,shipment_A-104.csv,simulated_prototype,0,-5.39,55.55572519083969,Normal,50-75%,6-9h
A-104,81,2026-07-05 00:09:49,6.75,52.18532,8.38315,5.07,11.0,False,4.376,335.611,368.44,shipment_A-104.csv,simulated_prototype,0,-5.93,56.250381679389314,Normal,50-75%,6-9h
A-104,82,2026-07-05 00:14:49,6.833,52.18127,8.32192,5.5,11.0,False,4.282,339.893,372.99,shipment_A-104.csv,simulated_prototype,0,-5.5,56.94503816793893,Normal,50-75%,6-9h
A-104,83,2026-07-05 00:19:49,6.917,52.17614,8.25994,5.28,11.0,False,4.329,344.222,377.53,shipment_A-104.csv,simulated_prototype,0,-5.72,57.638167938931296,Normal,50-75%,6-9h
A-104,84,2026-07-05 00:24:49,7.0,52.17217,8.19786,5.25,11.0,False,4.287,348.509,382.08,shipment_A-104.csv,simulated_prototype,0,-5.75,58.332824427480915,Normal,50-75%,6-9h
A-104,85,2026-07-05 00:29:49,7.083,52.16804,8.13473,5.44,11.0,False,3.893,352.402,386.63,shipment_A-104.csv,simulated_prototype,0,-5.56,59.02748091603054,Normal,50-75%,6-9h
A-104,86,2026-07-05 00:34:49,7.167,52.16405,8.07394,5.55,11.0,False,4.186,356.588,391.18,shipment_A-104.csv,simulated_prototype,0,-5.45,59.72213740458015,Normal,50-75%,6-9h
A-104,87,2026-07-05 00:39:49,7.25,52.16001,8.01212,5.34,11.0,False,4.117,360.705,395.73,shipment_A-104.csv,simulated_prototype,0,-5.66,60.41679389312977,Normal,50-75%,6-9h
A-104,88,2026-07-05 00:44:49,7.333,52.15666,7.94887,5.48,11.0,False,4.397,365.102,400.28,shipment_A-104.csv,simulated_prototype,0,-5.52,61.11145038167939,Normal,50-75%,6-9h
A-104,89,2026-07-05 00:49:49,7.417,52.15155,7.88687,5.32,11.0,False,4.051,369.153,404.83,shipment_A-104.csv,simulated_prototype,0,-5.68,61.806106870229,Normal,50-75%,6-9h
A-104,90,2026-07-05 00:54:49,7.5,52.14808,7.82517,5.15,11.0,False,4.019,373.172,409.38,shipment_A-104.csv,simulated_prototype,0,-5.85,62.50076335877862,Normal,50-75%,6-9h
A-104,91,2026-07-05 00:59:49,7.583,52.14372,7.76309,5.32,11.0,False,4.231,377.403,413.92,shipment_A-104.csv,simulated_prototype,0,-5.68,63.193893129771,Normal,50-75%,6-9h
A-104,92,2026-07-05 01:04:49,7.667,52.13876,7.70206,5.66,11.0,False,4.252,381.655,418.47,shipment_A-104.csv,simulated_prototype,0,-5.34,63.88854961832061,Normal,50-75%,6-9h
A-104,93,2026-07-05 01:09:49,7.75,52.13559,7.63926,6.39,11.0,False,3.812,385.467,423.02,shipment_A-104.csv,simulated_prototype,0,-4.61,64.58320610687022,Normal,50-75%,6-9h
A-104,94,2026-07-05 01:14:49,7.833,52.13144,7.57721,6.78,11.0,False,4.238,389.705,427.57,shipment_A-104.csv,simulated_prototype,0,-4.22,65.27786259541985,Normal,50-75%,6-9h
A-104,95,2026-07-05 01:19:49,7.917,52.12678,7.51519,7.72,11.0,False,4.034,393.739,432.12,shipment_A-104.csv,simulated_prototype,0,-3.2800000000000002,65.97251908396946,Normal,50-75%,6-9h
A-104,96,2026-07-05 01:24:49,8.0,52.12279,7.45317,7.89,11.0,False,4.382,398.121,436.67,shipment_A-104.csv,simulated_prototype,0,-3.1100000000000003,66.66717557251908,Normal,50-75%,6-9h
A-104,97,2026-07-05 01:29:49,8.083,52.11905,7.39205,8.23,11.0,False,4.169,402.29,441.22,shipment_A-104.csv,simulated_prototype,0,-2.7699999999999996,67.36183206106871,Normal,50-75%,6-9h
A-104,98,2026-07-05 01:34:49,8.167,52.11437,7.32955,8.52,11.0,False,4.048,406.338,445.76,shipment_A-104.csv,simulated_prototype,0,-2.4800000000000004,68.05496183206107,Normal,50-75%,6-9h
A-104,99,2026-07-05 01:39:49,8.25,52.11064,7.2677,8.56,11.0,False,4.071,410.409,450.31,shipment_A-104.csv,simulated_prototype,0,-2.4399999999999995,68.74961832061068,Normal,50-75%,6-9h
A-104,100,2026-07-05 01:44:49,8.333,52.10631,7.20507,8.27,11.0,False,4.288,414.697,454.86,shipment_A-104.csv,simulated_prototype,0,-2.7300000000000004,69.4442748091603,Normal,50-75%,6-9h
A-104,101,2026-07-05 01:49:49,8.417,52.10178,7.14289,8.83,11.0,False,4.104,418.801,459.41,shipment_A-104.csv,simulated_prototype,0,-2.17,70.13893129770993,Normal,50-75%,6-9h
A-104,102,2026-07-05 01:54:49,8.5,52.09831,7.08126,8.88,11.0,False,4.207,423.008,463.96,shipment_A-104.csv,simulated_prototype,0,-2.119999999999999,70.83358778625954,Normal,50-75%,6-9h
A-104,103,2026-07-05 01:59:49,8.583,52.09358,7.01907,8.34,11.0,False,3.782,426.79,468.51,shipment_A-104.csv,simulated_prototype,0,-2.66,71.52824427480915,Normal,50-75%,6-9h
A-104,104,2026-07-05 02:04:49,8.667,52.08948,6.95747,8.53,11.0,False,4.038,430.828,473.06,shipment_A-104.csv,simulated_prototype,0,-2.4700000000000006,72.22290076335878,Normal,50-75%,6-9h
A-104,105,2026-07-05 02:09:49,8.75,52.0859,6.89507,8.18,11.0,False,4.222,435.05,477.6,shipment_A-104.csv,simulated_prototype,0,-2.8200000000000003,72.91603053435115,Normal,50-75%,6-9h
A-104,106,2026-07-05 02:14:49,8.833,52.08156,6.83315,7.93,11.0,False,4.258,439.308,482.15,shipment_A-104.csv,simulated_prototype,0,-3.0700000000000003,73.61068702290076,Normal,50-75%,6-9h
A-104,107,2026-07-05 02:19:49,8.917,52.07783,6.77095,7.56,11.0,False,4.045,443.353,486.7,shipment_A-104.csv,simulated_prototype,0,-3.4400000000000004,74.30534351145039,Normal,50-75%,6-9h
A-104,108,2026-07-05 02:24:49,9.0,52.07283,6.71019,7.1,11.0,False,3.929,447.282,491.25,shipment_A-104.csv,simulated_prototype,0,-3.9000000000000004,75.0,Normal,50-75%,6-9h
A-104,109,2026-07-05 02:29:49,9.083,52.06967,6.64747,6.69,11.0,False,4.291,451.573,495.8,shipment_A-104.csv,simulated_prototype,0,-4.31,75.69465648854961,Normal,75-100%,9-12h
A-104,110,2026-07-05 02:34:49,9.167,52.06527,6.58624,5.8,11.0,False,4.35,455.923,500.35,shipment_A-104.csv,simulated_prototype,0,-5.2,76.38931297709924,Normal,75-100%,9-12h
A-104,111,2026-07-05 02:39:49,9.25,52.06105,6.52386,5.41,11.0,False,4.097,460.02,504.9,shipment_A-104.csv,simulated_prototype,0,-5.59,77.08396946564885,Normal,75-100%,9-12h
A-104,112,2026-07-05 02:44:49,9.333,52.05723,6.46161,5.41,11.0,False,4.077,464.097,509.44,shipment_A-104.csv,simulated_prototype,0,-5.59,77.77709923664122,Normal,75-100%,9-12h
A-104,113,2026-07-05 02:49:49,9.417,52.05227,6.39918,4.76,11.0,False,4.184,468.281,513.99,shipment_A-104.csv,simulated_prototype,0,-6.24,78.47175572519085,Normal,75-100%,9-12h
A-104,114,2026-07-05 02:54:49,9.5,52.04887,6.33758,4.83,11.0,False,3.817,472.098,518.54,shipment_A-104.csv,simulated_prototype,0,-6.17,79.16641221374046,Normal,75-100%,9-12h
A-104,115,2026-07-05 02:59:49,9.583,52.04404,6.27523,4.81,11.0,False,3.976,476.074,523.09,shipment_A-104.csv,simulated_prototype,0,-6.19,79.86106870229008,Normal,75-100%,9-12h
A-104,116,2026-07-05 03:04:49,9.667,52.04027,6.21304,4.95,11.0,False,4.229,480.303,527.64,shipment_A-104.csv,simulated_prototype,0,-6.05,80.5557251908397,Normal,75-100%,9-12h
A-104,117,2026-07-05 03:09:49,9.75,52.03545,6.15144,5.2,11.0,False,4.122,484.425,532.19,shipment_A-104.csv,simulated_prototype,0,-5.8,81.25038167938932,Normal,75-100%,9-12h
A-104,118,2026-07-05 03:14:49,9.833,52.03182,6.08915,4.5,11.0,False,4.149,488.574,536.74,shipment_A-104.csv,simulated_prototype,0,-6.5,81.94503816793893,Normal,75-100%,9-12h
A-104,119,2026-07-05 03:19:49,9.917,52.02808,6.02809,5.07,11.0,False,4.268,492.842,541.28,shipment_A-104.csv,simulated_prototype,0,-5.93,82.63816793893129,Normal,75-100%,9-12h
A-104,120,2026-07-05 03:24:49,10.0,52.02349,5.96487,4.64,11.0,False,4.325,497.167,545.83,shipment_A-104.csv,simulated_prototype,0,-6.36,83.33282442748093,Normal,75-100%,9-12h
A-104,121,2026-07-05 03:29:49,10.083,52.02018,5.90347,5.1,11.0,False,4.256,501.423,550.38,shipment_A-104.csv,simulated_prototype,0,-5.9,84.02748091603054,Normal,75-100%,9-12h
A-104,122,2026-07-05 03:34:49,10.167,52.01546,5.84174,4.84,11.0,False,4.052,505.475,554.93,shipment_A-104.csv,simulated_prototype,0,-6.16,84.72213740458014,Normal,75-100%,9-12h
A-104,123,2026-07-05 03:39:49,10.25,52.01058,5.77936,4.93,11.0,False,4.211,509.686,559.48,shipment_A-104.csv,simulated_prototype,0,-6.07,85.41679389312978,Normal,75-100%,9-12h
A-104,124,2026-07-05 03:44:49,10.333,52.00698,5.71712,4.68,11.0,False,4.174,513.86,564.03,shipment_A-104.csv,simulated_prototype,0,-6.32,86.11145038167939,Normal,75-100%,9-12h
A-104,125,2026-07-05 03:49:49,10.417,52.0023,5.65545,4.79,11.0,False,4.136,517.996,568.58,shipment_A-104.csv,simulated_prototype,0,-6.21,86.80610687022902,Normal,75-100%,9-12h
A-104,126,2026-07-05 03:54:49,10.5,51.99817,5.59382,4.9,11.0,False,3.799,521.795,573.12,shipment_A-104.csv,simulated_prototype,0,-6.1,87.49923664122137,Normal,75-100%,9-12h
A-104,127,2026-07-05 03:59:49,10.583,51.99454,5.5312,4.9,11.0,False,3.98,525.775,577.67,shipment_A-104.csv,simulated_prototype,0,-6.1,88.19389312977098,Normal,75-100%,9-12h
A-104,128,2026-07-05 04:04:49,10.667,51.99095,5.46945,4.72,11.0,False,3.931,529.706,582.22,shipment_A-104.csv,simulated_prototype,0,-6.28,88.88854961832061,Normal,75-100%,9-12h
A-104,129,2026-07-05 04:09:49,10.75,51.98584,5.40693,4.33,11.0,False,4.12,533.826,586.77,shipment_A-104.csv,simulated_prototype,0,-6.67,89.58320610687022,Normal,75-100%,9-12h
A-104,130,2026-07-05 04:14:49,10.833,51.98303,5.34542,4.48,11.0,False,4.193,538.019,591.32,shipment_A-104.csv,simulated_prototype,0,-6.52,90.27786259541986,Normal,75-100%,9-12h
A-104,131,2026-07-05 04:19:49,10.917,51.97854,5.28428,4.39,11.0,False,3.897,541.916,595.87,shipment_A-104.csv,simulated_prototype,0,-6.61,90.97251908396946,Normal,75-100%,9-12h
A-104,132,2026-07-05 04:24:49,11.0,51.97334,5.22114,4.87,11.0,False,4.136,546.052,600.42,shipment_A-104.csv,simulated_prototype,0,-6.13,91.66717557251907,Normal,75-100%,9-12h
